# %ECSV 0.9
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: PS1_y, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# - {name: johnson_U, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# meta: !!omap
# - comment: [vej = 0.25999999999999995, mej = 0.023201562933498177, Ye = 0.45, redshift = 0.0]
# schema: astropy-2.0
time sdss_u sdss_g sdss_r sdss_i sdss_z PS1_y ukirt_J ukirt_H ukirt_K johnson_U johnson_B johnson_V johnson_R johnson_I
1.450000 -11.361928 -13.377844 -14.463840 -15.029496 -15.304710 -15.441062 -15.602376 -15.554232 -15.359457 -11.617486 -12.845617 -14.032069 -14.581126 -15.328722
1.500000 -11.196913 -13.265215 -14.384317 -14.970872 -15.258680 -15.402803 -15.579440 -15.544196 -15.357370 -11.458749 -12.718382 -13.938667 -14.505616 -15.283950
1.550000 -10.969277 -13.114649 -14.282484 -14.899830 -15.206212 -15.361804 -15.561081 -15.544919 -15.369855 -11.240347 -12.546325 -13.816399 -14.409693 -15.233337
1.600000 -10.803075 -12.999947 -14.200359 -14.838307 -15.157127 -15.320406 -15.534872 -15.531527 -15.364368 -11.080315 -12.417260 -13.720611 -14.331522 -15.185496
1.650000 -10.637229 -12.884965 -14.117564 -14.775880 -15.107006 -15.277894 -15.507408 -15.516772 -15.357456 -10.920563 -12.288093 -13.624314 -14.252634 -15.136605
1.700000 -10.471814 -12.769792 -14.034193 -14.712645 -15.055945 -15.234366 -15.478787 -15.500755 -15.349219 -10.761167 -12.158907 -13.527601 -14.173124 -15.086763
1.750000 -10.236863 -12.611697 -13.924762 -14.634046 -14.996005 -15.185977 -15.453281 -15.494620 -15.355051 -10.535423 -11.979374 -13.397750 -14.069604 -15.028689
1.800000 -10.070965 -12.495230 -13.839604 -14.568738 -14.942718 -15.140137 -15.422209 -15.476065 -15.344232 -10.375446 -11.849118 -13.299453 -13.988251 -14.976606
1.850000 -9.905728 -12.378823 -13.754132 -14.502888 -14.888758 -15.093547 -15.390243 -15.456506 -15.332347 -10.216057 -11.719090 -13.200998 -13.906539 -14.923837
1.900000 -9.665659 -12.215643 -13.639673 -14.419350 -14.823969 -15.040388 -15.360182 -15.446065 -15.334049 -9.985198 -11.534459 -13.066088 -13.798003 -14.860927
1.950000 -9.500430 -12.098449 -13.552924 -14.351933 -14.768282 -14.991981 -15.326248 -15.424439 -15.320045 -9.825722 -11.403865 -12.966558 -13.714957 -14.806415
2.000000 -9.336079 -11.981540 -13.466088 -14.284199 -14.712145 -14.943044 -15.291634 -15.402019 -15.305183 -9.667053 -11.273720 -12.867096 -13.631778 -14.751441
2.050000 -9.091673 -11.814042 -13.347350 -14.196448 -14.643217 -14.885809 -15.257681 -15.387910 -15.303381 -9.431858 -11.084764 -12.727886 -13.518973 -14.684400
2.100000 -8.927795 -11.696802 -13.259684 -14.127584 -14.585779 -14.835475 -15.221501 -15.363808 -15.286777 -9.273566 -10.954512 -12.627802 -13.434906 -14.628109
2.150000 -8.680102 -11.526218 -13.138002 -14.037002 -14.514111 -14.775569 -15.185053 -15.347402 -15.282822 -9.035108 -10.762414 -12.485584 -13.319176 -14.558339
2.200000 -8.517003 -11.408937 -13.049782 -13.967272 -14.455630 -14.724087 -15.147541 -15.321842 -15.264692 -8.877496 -10.632349 -12.385160 -13.234494 -14.500987
2.250000 -8.355122 -11.292271 -12.961797 -13.897538 -14.397004 -14.672376 -15.109639 -15.295762 -15.245968 -8.721030 -10.503067 -12.285129 -13.150001 -14.443477
2.300000 -8.104319 -11.118513 -12.836916 -13.803769 -14.322181 -14.609350 -15.070191 -15.276526 -15.239318 -8.479454 -10.307811 -12.139719 -13.031072 -14.370557
2.350000 -7.943643 -11.002201 -12.748750 -13.733524 -14.262853 -14.556823 -15.031267 -15.249278 -15.219345 -8.324091 -10.179120 -12.039731 -12.946333 -14.312325
2.400000 -7.690341 -10.826072 -12.621587 -13.637547 -14.185881 -14.491696 -14.989849 -15.228229 -15.211004 -8.080030 -9.981457 -11.892000 -12.825135 -14.237264
2.450000 -7.531149 -10.710365 -12.533473 -13.567009 -14.126059 -14.438556 -14.950091 -15.199983 -15.189944 -7.926046 -9.853616 -11.792294 -12.740381 -14.178519
2.500000 -7.275647 -10.532128 -12.404267 -13.469045 -14.047147 -14.371528 -14.906881 -15.177285 -15.180064 -7.679797 -9.653819 -11.642492 -12.617149 -14.101523
